word,machine,human,label
hamstring,igigirisẹ,iṣan-orúnkún,negative
supremely,ti o ga julọ,ti o ga julọ,positive
disturbance,idamu,ìdààmú,negative
fascinatingly,fanimọra,fanimọra,positive
boast,ṣogo,yagàn,negative
problem,iṣoro,ìṣòro,negative
rejects,kọ,kọ̀,negative
disastrous,ajalu,àjálù,negative
unattainable,airi,àìní,negative
dehumanized,dehumanized,àìsedédé ènìyàn,negative
loveless,alaini ife,aláìní ìfẹ́,negative
marvelled,yà,yalẹnu,positive
attorney,agbẹjọro,agbẹjọro,positive
ill-treatment,itọju aiṣedede,ìlòkulò,negative
entertaining,idanilaraya,idanilaraya,positive
sufferers,awọn alaisan,olùfaragbá,negative
ugly,ilosiwaju,bùrẹwà,negative
right direction,itọsọna ọtun,itọsọna ọtun,positive
approved,fọwọsi,fọwọsi,positive
cooperatively,ifowosowopo,ifowosowopo,positive
goodwill,ife -rere,ife -rere,positive
grudging,kikoro,kórìíra,negative
bust,igbamu,ìbúgbàmù,negative
wearisome,rirẹ,ìdánilágara,negative
utterly,patapata,pátápátá,negative
unwelcome,aabọ,àìfayọ̀gbà,negative
smoker,taba siga,amùkòkò-tábà,negative
obscene,ohun aibikita,ohun tí kò bá ojú mu,negative
surcharge,afikun owo,owó-àsánlé,negative
foe,ọta,ọ̀tá,negative
confront,dojuko,dojú kọ,negative
spews,awọn eeyan,àwọn ẹ̀yán,negative
vibrating,titaniji,gbígbọ̀n,negative
happiness,idunu,idunu,positive
imposed,ti paṣẹ,tí pàṣẹ,negative
touchy,ifọwọkan,kanra,negative
thwart,idiwọ,ìdíwọ́,negative
aggravation,irẹwẹsi,mú pọ̀si,negative
pistol,ibon,ìbọn-ìléwọ́,negative
impropriety,aiṣedeede,àìṣedéédé,negative
vestiges,vestiges,ipasẹ̀,negative
withstand,farada,farada,positive
beverage,nkanmimu,nkanmimu,positive
objections,atako,àtakò,negative
pedigree,iran,iran,positive
revolutionary,rogbodiyan,rogbodiyan,positive
cupping,kikopa,ìtọ́jú-onífe,negative
un-viewable,un-viewable,aláìṣeéwò,negative
exterminate,parun,parun,negative
choice,yiyan,yiyan,positive
sonorous,aladun,aladun,positive
torpedo,torpedo,afìbọnpani,negative
averse,korira,kórìíra,negative
indebted,gbese,jẹ gbese,positive
depressions,ibanujẹ,ìbànújẹ́,negative
pandemic,àjàkálẹ àrùn tókárí-ayé,àjàkálẹ̀-àrun,negative
malevolent,aṣebiakọ,oníwà búburú,negative
abandon,kọ silẹ,kọ̀ sílẹ̀,negative
annihilation,ìparun,ìparun,negative
apologise,gafara,tọrọ ìdáríjì,negative
saint,eniyan mimo,eniyan mimo,positive
falls,ṣubu,ṣubú,negative
zeal,ìtara,ìtara,positive
daughter,ọmọbinrin,ọmọbinrin,positive
indignantly,ibinu,ìbínú,negative
overlook,gbojufo,fojú fò,negative
mock,ẹgan,ẹ̀gàn,negative
swine,ẹlẹ́dẹ̀,ẹlẹ́dẹ̀,negative
slaughtered,pa,pa,negative
intolerance,ifarada,àìlèfaradà,negative
spoilages,spoilages,bàjẹ́,negative
coercion,ipá,ipá,negative
supple,rirọ,rirọ,positive
rape,ifipabanilopo,ìfipábánilòpò,negative
cheat,iyanjẹ,ìyànjẹ,negative
instigate,ru,ru,negative
unpretentious,unpretentious,laidawọle,positive
erratic,alaibamu,àìṣedéédé,negative
delicate,elege,elege,positive
declination,idinku,àdínkù,negative
attracted,ni ifamọra,fa,positive
perceive,woye,woye,positive
zealously,itara,nítara,negative
solid,ri to,le,positive
dust,ekuru,eruku,negative
incubus,incubus,ọkọ-ọ̀run,negative
intact,mule,nipipe,positive
non-violence,ti kii ṣe iwa-ipa,ti kii ṣe iwa-ipa,positive
disingenuous,alaigbọran,àìsòótọ́,negative
charming,pele,ni ifaiya,positive
timely,ti akoko,ti akoko,positive
oppressed,inilara,ìnilára,negative
dignity,iyì,iyì,positive
lemon,lẹmọnu,ọsàn wẹ́wẹ́,negative
spookier,alakikanju,akíkanjú,negative
discrepant,alaigbọran,aláìgbọràn,negative
squander,ṣagbe,ìnákúnà-án,negative
feeling,rilara,imọlara,positive
ogre,ogre,oníwà-búburú,negative
birthday,ojo ibi,ojo ibi,positive
eye-catching,oju-mimu,fanimọra,positive
flee,sá,sá,negative
lighter,fẹẹrẹfẹ,fẹẹrẹfẹ,positive
dishonestly,alaisododo,àìṣòdodo,negative
niggas,niggas,Ọ̀rẹ́,negative
alimony,alimony,owó-ìkọ̀sílẹ̀,negative
slashes,awọn ọgbẹ,gé kúrú,negative
linguist,onimọ -ede,onimọ -ede,positive
watery,olomi,lómi,negative
thresh,ìpakà,pakà,negative
remarkable,o lapẹẹrẹ,o lapẹẹrẹ,positive
exonerate,dá ẹjọ́,mu ẹbi kuro,positive
hospitable,aájò àlejò,aájò àlejò,positive
occluded,ti dibo,ti dí,negative
polemic,ariyanjiyan,alárìíyànjiyàn,negative
prominent,oguna,oguna,positive
vitriolic,vitriolic,kún fún oró,negative
euphoria,euphoria,ayọ nla,positive
excellant,olutayo,olutayo,positive
advantageously,advantageously,to ṣanfani,positive
pine,igi pine,igi-páínì,negative
exaggerates,exaggerates,àsọdùn,negative
scrutinize,ṣe ayẹwo,wo-àwòfín,negative
providence,ipese,ipese,positive
infestation,infestation,ìyọlẹ́nu,negative
tetchy,tetchy,ìbínú,negative
defense,olugbeja,olugbeja,positive
provocative,àkìjà,ìmúnibínú,negative
hardship,ipọnju,ìpọ́njú,negative
buried,sin,sin,negative
snobs,awọn apanirun,awọn ènìyàn yẹpẹrẹ,negative
disparaging,disparaging,aláìgbọràn,negative
elucidate,ṣe alaye,ṣe alaye,positive
nap,orun,orun,positive
din,din,ariwo ńlá,negative
smell,orun,òórùn,negative
shit,nik,imí,negative
scarecrow,scarecrow,ìdẹ́rèbẹyẹ,negative
convincing,ni idaniloju,ni idaniloju,positive
devastatingly,pupo,nìpalára,negative
wholesome,ni ilera,ni ilera,positive
concordance,concordance,ìbádọ́gba,positive
contagious,tó leè ranni,tó leè ranni,negative
tanned,tanned,fi orun jo,positive
dizzing,sisun,sisun,negative
deploringly,ibanuje,ìbànújẹ́,negative
calls,awọn ipe,ìpè,negative
shares,mọlẹbi,pin,positive
foully,ahon,ìdọ̀tí,negative
surpassing,surpassing,re kọja,positive
accusingly,ẹsùn,ẹ̀sùn,negative
unwashed,ti a ko wẹ,àìfọ̀,negative
well-connected,ti sopọ daradara,ti sopọ daradara,positive
deprive,dina,dínà,negative
woebegone,woebegone,òtòsì,negative
addicts,addicts,bárakú,negative
slicker,alagidi,alagidi,positive
remedial,atunse,àtúnṣe,negative
agonizingly,ibanuje,ìrora,negative
advanced,to ti ni ilọsiwaju,to ti ni ilọsiwaju,positive
sabotage,sabotage,sabotage,negative
adequate,deedee,deedee,positive
dumbfounding,dumbfounding,n yanilẹnu,positive
affirmatively,affirmatively,pẹlu ìtẹnumọ́,positive
betraying,jijẹ,dídalẹ̀,negative
talents,talenti,talenti,positive
litigious,ẹjọ,ẹjọ́,negative
inquisitive,awadi,awadi,positive
radiate,tàn,tàn,positive
top-heavy,oke-eru,fìlókè,negative
benefitting,anfaani,n jẹ anfani,positive
potable,ni agbara,dara,positive
awfulness,buruju,burújù,negative
cater,ṣaajo,ṣaajo,positive
censored,ihamon,ìhámọ́,negative
adventures,seresere,awọn idawọle,positive
chieftain,ìjòyè,ìjòyè,positive
bamboozle,bamboozle,bamboozle,negative
love,ife,ife,positive
appendicitis,appendicitis,ìkánràn,negative
sissy,sissy,àìnígboyà,negative
godly,iwa -bi -Ọlọrun,iwa -bi -Ọlọrun,positive
tarnishes,tarnishes,tàbùkù,negative
civilization,ọlaju,ọlaju,positive
steadiness,iduroṣinṣin,iduroṣinṣin,positive
chicane,chicane,borí,negative
amicably,alaafia,alaafia,positive
sprightly,daradara,nididaraya,positive
dejected,aibanujẹ,ìbànújẹ́,negative
thorny,elegun,ẹlẹ́gùn-ún,negative
sagely,sagely,lọgbọn,positive
presumptuously,ìkùgbù,ìkùgbù,negative
horrific,oburewa,òbùrẹwà,negative
mockingly,ṣe ẹlẹyà,ṣe ẹlẹ́yà,negative
whitewash,fifọ funfun,fífọ funfun,negative
plusses,pluss,ìfà,positive
laconic,laconic,ṣókí,negative
upliftment,igbega,igbega,positive
examplary,ayẹwo,apẹrẹ,positive
fakes,iro,ayédèrú,negative
agreeing,gba,gba,positive
detract,dena,yọ kúrò,negative
eased,rọrùn,rọrùn,positive
beneficially,anfaani,anfaani,positive
effusive,agbara,to tujade,positive
lucky,orire,orire,positive
ecstasies,awọn igbadun,awọn igbadun,positive
distastefully,distastefully,pẹ̀lú ìkórìíra,negative
extol,gbega,gbega,positive
indomitable,ailopin,lailepin,positive
adopts,adopts,gba,positive
asininely,asininely,bíbẹ̀rẹ̀,negative
mercy,aanu,aanu,positive
despondency,irẹwẹsi,ìrẹ̀wẹ̀sì,negative
discriminating,iyasoto,ojúṣàjú,negative
stolen,ji,jí,negative
underline,ìlà,ìlà,positive
struggle,ìjàkadì,ìjàkadì,negative
disclaim,sẹ,sẹ́,negative
brotherly,arakunrin,arakunrin,positive
endure,farada,farada,positive
pretty,lẹwa,lẹwa,positive
absolution,idariji,idariji,positive
validate,fọwọsi,fọwọsi,positive
renegade,olodi,aláìṣòótọ́,negative
whimper,ariwo,ariwo,negative
reconstruct,atunkọ,atunkọ,positive
certain,daju,daju,positive
fresh,alabapade,alabapade,positive
arrested,mu,mú,negative
discourage,ìrẹwẹsì,ìrẹ̀wẹ̀sì,negative
bragger,agbéraga,agbéraga,negative
troublesome,onijogbon,níyọnu,negative
bane,eewọ,mọ́jèlé,negative
fucktard,onibaje,oníbàjẹ́,negative
epic,apọju,àpọ̀jù,positive
spammer,spammer,aláàwúrúju,negative
crying,ẹkún,ẹkún,negative
poise,ìfaradà,ìfaradà,positive
panacea,panacea,idahun,positive
aspersion,aspersion,fífọ́n,negative
familiarity,faramọ,faramọ,positive
monopolizes,monopolizes,ànìkànjọgbọ́n,negative
skimpy,skimpy,aṣọ kékeré,negative
madman,aṣiwere,aṣiwèrè,negative
immense,laini,lainiwọn,positive
reinforcement,imuduro,imuduro,positive
inconsolably,alaigbọran,àìlèrọ̀,negative
foundation,ipile,ipile,positive
superstar,gbajumọ,gbajumọ,positive
unavailable,ko si,aláìsí,negative
impedance,ikọjujasi,ìkojújàsí,negative
skeletons,egungun,egungun,negative
unfairly,aiṣedeede,àìṣòótọ́,negative
exaggeration,Àsọdùn,àsọdùn,negative
triumph,isegun,segun,positive
deceivers,awọn ẹlẹtàn,àwọn ẹlẹ́tàn,negative
oppressiveness,inilara,ìninilára,negative
begging,ṣagbe,ṣagbe,negative
enablement,agbara,agbara,positive
downbeat,isalẹ,ìbànújẹ́,negative
mishandle,aiṣedeede,ṣìmú,negative
hiding,nọmbafoonu,fi ara pamọ́,negative
oasis,asale,asale,positive
revels,awọn igbadun,àjọ alariwo,positive
kiss,fẹnuko,fẹnuko,positive
tits,ori omu,orí ọmú,negative
superman,alagbara,alagbara,positive
hash,elile,rorò,negative
scare,idẹruba,ìdẹ́rùbà,negative
despondently,aibanujẹ,ìrẹ̀wẹ̀sì,negative
colorful,lo ri,alawọ pupọ,positive
reliably,gbẹkẹle,se gbẹkẹle,positive
tickle,tickle,rin,positive
rhythmical,ariwo,dùnlétí,positive
expectation,ireti,ireti,positive
straightforward,taara,taara,positive
jokes,awada,se awada,positive
tortures,ìyà,ìyà,negative
beauties,awọn ẹwa,awọn ẹwa,positive
tolerant,ifarada,ifarada,positive
offense,ẹṣẹ,ẹ̀ṣẹ̀,negative
ethics,iwa rere,iwa rere,positive
overjoyed,ayọ pupọ,ayọ pupọ,positive
spitefully,lilu,níní ìkórìíra,negative
fathomless,alainilara,àìnímọ̀,negative
outlaw,olofin,arúfin,negative
irreducible,aidibajẹ,aidibajẹ,positive
rejoiced,yọ,yọ,positive
disgruntle,disgruntle,ìpalára,negative
aloha,alaafia,ẹpẹ̀lẹ́ oo,positive
taut,taut,ìfúnpinpin,negative
son-of-a-bitch,Alainiye lori,Aláìníyè lórí,negative
mangling,mangling,ṣàtúnṣe,negative
snare,ìdẹkùn,ìdẹkùn,negative
assurances,awọn idaniloju,awọn idaniloju,positive
blessings,ibukun,ibukun,positive
floral,ti ododo,ti ododo,positive
woeful,ègbé,ìbìnújẹ́,negative
terribly,lasan,ẹ̀rù,negative
repulsion,ifaseyin,ìlépadà,negative
embattled,ti dina,ìgbáradì ogun,negative
intimidatingly,deruba,dẹ́rùbà,negative
termite,igba,fòpinsí,negative
incredulous,alaigbagbọ,aláìgbàgbọ́,negative
second-class,kilasi keji,kíláàsì kejì,negative
hazardous,eewu,ewu,negative
guidance,itoni,itoni,positive
grudges,kikorò,ìkórìíra,negative
confidence,igbekele,igbekele,positive
desperately,ogbon,ọgbọ́n,negative
neurotic,neurotic,àìfarabalẹ̀,negative
odious,ẹlẹgbin,nírìra,negative
missing,sonu,sọnù,negative
store,itaja,ko-jọ,positive
journey,irin -ajo,irin -ajo,positive
mawkishness,maakishness,àìlera,negative
empathize,ni aanu,ni aanu,positive
mystify,mystify,rújú,negative
brainy,ọpọlọ,ọpọlọ,positive
swank,iwẹ,didara,positive
substantive,pataki,pataki,positive
vested,ti gba,ti gba,positive
heel,igigirisẹ,gìgìrísẹ̀,negative
evolution,itankalẹ,idagba diẹdiẹ si,positive
obliteration,imukuro,ìparun,negative
benevolence,oninuure,oninuure,positive
attractions,ifalọkan,awon onfa,positive
object,ohun,takò,negative
smiled,rẹrin musẹ,rẹrin musẹ,positive
best-known,ti o mọ julọ,ti o mọ julọ,positive
smudge,gbó,rírú èéfín,negative
trouble-free,laini wahala,laini wahala,positive
agonises,agonises,ìrora,negative
innocuous,alailẹṣẹ,alailẹṣẹ,positive
discordance,iyapa,ìyapa,negative
sub-par,sub-par,àìgbéwọ̀n,negative
worsen,buru sii,burú síi,negative
little-known,kekere-mọ,Mímọ̀ kékeré,negative
deafening,adití,adití,negative
distinguished,yato si,yato si,positive
negation,isọdọtun,ìsọdòdì,negative
grief,ibanuje,ìbànújẹ́,negative
aberration,aberration,ìwààjòjì,negative
ruined,ti baje,ti bàjẹ́,negative
acid,acid,omi-ẹ̀kan,negative
discontinuous,alaigbọwọ,ìdádúró,negative
exceedingly,pupọju,pupọju,positive
collisions,awọn ikọlu,àwọn ìkọlù,negative
reprove,bawi,báwí,negative
purification,ìwẹnumọ,ìwẹnumọ,positive
fallout,ba ara won ja,èrè búburú,negative
pedantic,ẹlẹsẹ,olùkọ́,negative
maniacal,maniacal,ìṣiwèrè,negative
lacked,alaini,ṣàìní,negative
detracts,detracts,yọ kúrò,negative
exemplar,apẹẹrẹ,apẹẹrẹ,positive
tardy,pẹkipẹki,lọ́ra,negative
brighten,tan imọlẹ,tan imọlẹ,positive
fighting,ija,ìjà,negative
dimmer,dimmer,bàìbàì,negative
bereaves,awọn ologbe,àwọn olóògbé,negative
contentious,àríyànjiyàn,àríyànjiyàn,negative
bankster,oludokoowo,olùdókòwò,negative
unsafe,ailewu,léwu,negative
imaginative,arojinle,arojinle,positive
apologize,gafara,ìdáríjì,negative
hashish,hashish,gé,negative
petty,kekere,kékeré,negative
pill,egbogi,egbogi,positive
obtuse,idibajẹ,ṣígọ̀gọ̀,negative
drowsiness,irọra,oorun,negative
pessimistically,pessimistically,àìnírètí,negative
achievement,aseyori,aseyori,positive
clearer,clearer,mọ si,positive
well,daradara,daradara,positive
demonized,ẹmi eṣu,ti sọ dàǹjọ̀ọ̀nú,negative
illicit,arufin,arúfin,negative
turbulent,rudurudu,rúdúrúdú,negative
limit,opin,òpin,negative
questioning,bibeere,bíbéèrè,negative
outrageously,outrageously,ìbínú,negative
fallacious,eke,èké,negative
enslavement,ẹrú,ìmúnilẹ́rú,negative
apologizing,aforiji,ìdáríjì,negative
whips,pàṣán,ọrẹ́,negative
outcast,alaibikita,aláìbìkítà,negative
uneducated,alaini eko,àìkàwé,negative
mercenary,adota,alágbàṣe,negative
melodramatic,aladun,aládùn,negative
overact,apọju,àṣejù,negative
repulse,korira,Kọ̀ jálẹ̀,negative
liberty,ominira,ominira,positive
scribe,akọwe,akọwe,positive
gladness,idunnu,idunnu,positive
woow,woo,woo,positive
allegation,esun,ẹ̀sùn,negative
deliberate,moomo,moomo,positive
emaciated,rirun,fẹ́lẹ́fẹ́lẹ́,negative
enthral,iwunilori,wunilori,positive
vicar,vicar,òye alufa kan,positive
combative,ija,ìjà,negative
upgradeable,upgradeable,mu darasi,positive
perish,ṣègbé,ṣègbé,negative
mannered,ihuwasi,ihuwasi,positive
inculcate,gbin,gbìn,negative
pity,anu,àánú,negative
leaked,ti jo,ti jò,negative
spoon-feed,sibi-kikọ,rán lọ́wọ́,negative
gall,gall,egbò,negative
dissing,dissing,takò,negative
frightened,bẹru,bẹ́rú,negative
intermittent,lemọlemọ,lemọ́lemọ́,negative
antithesis,antithesis,òdì,negative
phantom,Phantom,iwin,negative
uncompromisingly,lainidi,aláìládèhún,negative
heedless,aibikita,àìbìkítà,negative
regrettably,banuje,àbámọ̀,negative
rejuvenating,rejuvenating,sọji,positive
pure,funfun,funfun,positive
venerate,jọ́sìn,buyin fun,positive
derision,ẹgan,ẹ̀gàn,negative
joker,awada,aláwàdà,negative
aversion,ikorira,ikorira,negative
general,gbogboogbo,gbogboogbo,positive
desiring,ifẹkufẹ,fẹ,positive
dishearteningly,aibanujẹ,ìbanújẹ́,negative
circumvention,àyípadà,àyípadà,positive
motionless,išipopada,àìlèmira,negative
shrew,ologbon,dabarú,negative
inadequacy,ailagbara,àìtó,negative
futurestic,ojo iwaju,ojo iwaju,positive
forerunner,aṣaaju -ọna,aṣaaju,positive
geeky,geeky,jẹ́ olùfẹ́ràn ọpọlọ,positive
burke,burke,ìpànìyàn,negative
accusative,olufisun,ìfisùn,negative
cruel,ìka,ìkà,negative
authenticity,ododo,ododo,positive
laughter,ẹrin,ẹrin,positive
frugal,frugal,tuwọka,positive
volatile,iyipada,yípadà,negative
suffocate,imukuro,ṣé ẹ̀mí pa,negative
overbalance,apọju,àpọ̀jù,negative
hid,farasin,fara pamọ́,negative
observant,alafojusi,alafojusi,positive
setbacks,ifaseyin,ìfàsẹ́yìn,negative
content,akoonu,nitẹlọrun,positive
silencing,ipalọlọ,ìpalọ́lọ́,negative
secondhand,ọwọ keji,àlòkù,negative
ill-natured,aláìláàánú,onínúfùfù,negative
clears,nso,ko,positive
lumpy,lumpy,oníkókó,negative
infested,infested,kógun jà,negative
spendy,inawo,ìnáwó,negative
curt,kuru,gé kúrú,negative
broken,fifọ,fífọ́,negative
nauseating,ríru,ríru,negative
villianous,villianous,oníwà búburú,negative
diss,diss,àìbọ̀wọ̀,negative
tepid,tepid,lọ́wọ́rọ́,negative
nauseatingly,ríru,ríru,negative
trifle,lasan,àìnílárí,negative
stalling,duro,dúró,negative
irrevocable,aidibajẹ,àìyípadà,negative
immediately,lẹsẹkẹsẹ,lẹ́sẹ̀kẹsẹ̀,negative
tiling,tiling,ṣíṣètò ilẹ̀ fọ́gbìn,positive
agreement,adehun,adehun,positive
agonized,irora,irora,negative
contending,ìjà,díje,negative
misreporting,iroyin ti ko tọ,ìròyìn tí kò tọ́,negative
immaculately,ailabawọn,ailabawọn,positive
charity,alanu,ifẹni,positive
vulgarity,iwa palapala,àìbìkítà,negative
tricked,tan,tàn,negative
cataract,cataract,ẹlẹ́yọ̀-fọ́jú,negative
blame,ibawi,ẹ̀bi,negative
swindling,arekereke,àrékérekè,negative
bounty,oore -ofe,ẹbùn iṣeun,positive
absurd,òpònú,òpònú,negative
victims,olufaragba,àwọn olùfaragbá,negative
craze,ifẹkufẹ,ìṣiwèrè,negative
degenerate,dibajẹ,díbàjẹ́,negative
adulterier,alagbere,alágbèrè,negative
fitting,ibamu,ibamu,positive
joke,awada,àwàdà,negative
ass,kẹtẹkẹtẹ,kẹ́tẹ́kẹ́tẹ́,negative
kills,pa,pa,negative
dented,dented,àpá,negative
collide,kọlu,kọlù,negative
polish,pólándì,pólándì,positive
